topic;oq;avg;;;worst;average;better;;topic;oq;round(avg);;;schlechter;mittelwert;besser;;;;;;;
1047;3;4;-1;;;;;;1047;3;4;-1;;;;;;;;;;;
1047;5;4,7;0,3;;;;;;1047;5;5;0;;;;;;;;;;;
1047;4;3,9;0,1;;;;;;1047;4;4;0;;;;;;;;;;;
1048;4;4,3;-0,3;;;;;;1048;4;4;0;;;;;;;;;;;
1048;3;4;-1;;;;;;1048;3;4;-1;;;;;;;;;;;
1048;2;3;-1;;;;;;1048;2;3;-1;;;;;;;;;;;
1048;4;4,2;-0,2;;;;;;1048;4;4;0;;;;;;;;;;;
1049;2;2,8;-0,8;;;;;;1049;2;3;-1;;;;;;;;;;;
1049;1;3,3;-2,3;;;;;;1049;1;3;-2;;;;;;;;;;;
1049;2;3,7;-1,7;;;;;;1049;2;4;-2;;;;;;;;;;;
1049;2;3;-1;;;;;;1049;2;3;-1;;;;;;;;;;;
1050;4;3,7;0,3;;;;;;1050;4;4;0;;;;;;;;;;;
1050;2;3,7;-1,7;;;;;;1050;2;4;-2;;;;;;;;;;;
1050;4;4,3;-0,3;;;;;;1050;4;4;0;;;;;;;;;;;
1050;4;3,8;0,2;;;;;;1050;4;4;0;;;;;;;;;;;
