score (w/ conf.);3,620968463;3,226100076;3,359711536;3,883326371;3,368605594;3,026798557;4,470253478;3,166462199;3,5174889;3,90840199;3,934181097;3,926940837;4,013635425;4,105556286;3,973978139;3,72350264;3,31309145;2,905160585;3,781930339;3,713002219;3,992870678;3,588045642;3,362672937;2,524437097;3,443276012;4,144228898;2,037819877;3,829093521;3,833760992;3,796019951;3,456323944;3,799210931;4,099817251;3,746012576;3,797117453;3,392167287;3,425486883;3,239159635;3,723687645;3,840145262;3,348569949;3,525456047;3,510954406;2,228447574;3,957161882;4,111645506;3,685228436;2,736454681;3,834597222
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe6;1001;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050
score;3,921885329;3,486998911;3,358811328;4,374908425;2,689340559;3,101431463;4,107592074;3,014501729;3,393723431;3,819446344;4,069831074;3,875786982;3,199918594;3,29063147;3,626262626;3,825673535;3,550441628;2,798421816;3,949149738;4,019262053;3,244556477;3,614285714;3,374191739;3,78229774;3,298518519;3,49906898;3,55074422;3,947061129;2,985138746;3,218529046;3,13458195;3,492654044;2,947477587;3,84460084;3,223120287;3,587865613;3,361558787;3,646779428;4,013679745;3,112938625;3,734707244;3,451372186;3,600946055;3,749080854;3,278008283;3,757698842;4,217416259;3,676130081;3,599730535
score (w/ conf.);3,923506504;3,464427628;3,336101857;4,371757475;2,665250622;3,118939299;4,117401696;3,020359237;3,426904706;3,844570305;4,061105831;3,881629001;3,178553942;3,293831275;3,606060606;3,844311509;3,585310909;2,807435723;3,945555495;4,026964904;3,231200029;3,685575624;3,374124872;3,796163388;3,288665322;3,478885939;3,558056232;3,90733628;2,993822606;3,218465755;3,084471633;3,526379266;2,980592753;3,834127042;3,229270741;3,579060481;3,320304204;3,661821017;4,019499147;3,089059046;3,77100906;3,446454611;3,620084918;3,76038039;3,338823081;3,786003604;4,23949098;3,711651965;3,621498682
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;score;;;;;;score (w/conf.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;group 1;group 3;group 4;group 5;group 6;qs;group 1;group 3;group 4;group 5;group 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min;2,301857585;2,651605759;2,483041368;2,036868687;2,689340559;0;2,248760434;2,608759868;2,036868687;2,689340559;2,665250622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
q25;2,668234767;3,481069126;3,228545971;3,340903087;3,278008283;1;2,690340909;3,507732419;3,340903087;3,278008283;3,288665322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
med;3,136386386;3,723374867;3,618106373;3,706372549;3,55074422;2;3,127374337;3,752305646;3,706372549;3,55074422;3,579060481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
q75;3,482078853;3,925967198;3,978259328;3,858297646;3,819446344;3;3,470967742;3,953383987;3,858297646;3,819446344;3,834127042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
max;4,427551942;4,581666667;4,513973133;4,42737051;4,374908425;4;4,44177557;4,576654355;4,42737051;4,374908425;4,371757475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;group 1;group 3;group 4;group 5;group 6;;group 1;group 3;group 4;group 5;group 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min;2,301857585;2,651605759;2,483041368;2,036868687;2,689340559;;2,248760434;2,608759868;2,036868687;2,689340559;2,665250622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
q25-min;0,366377182;0,829463367;0,745504603;1,3040344;0,588667724;;0,441580475;0,898972552;1,3040344;0,588667724;0,623414699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
med-q25;0,468151619;0,242305741;0,389560402;0,365469462;0,272735937;;0,437033428;0,244573227;0,365469462;0,272735937;0,290395159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
q75-med;0,345692467;0,202592331;0,360152955;0,151925097;0,268702124;;0,343593405;0,20107834;0,151925097;0,268702124;0,255066561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
max-q75;0,945473089;0,655699468;0,535713805;0,569072864;0,55546208;;0,970807829;0,623270368;0,569072864;0,55546208;0,537630434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
